epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,79.9571,1.17941,3.49172,1.13067,0,0,0,0,2.15282,59.139,1.66351,6e-05,6e-05,0.08806
2,160.687,1.02969,2.4475,1.07783,0.0943,0.10548,0.06994,0.04623,1.51325,5.50678,1.15046,0.000124381,0.000124381,0.0751244
3,233.009,1.00731,2.43566,1.09401,0.25784,0.42517,0.25179,0.14319,1.64992,2.78148,1.24871,0.000188119,0.000188119,0.0621881
4,308.854,0.99529,2.10236,1.06039,0.58958,0.47626,0.47772,0.25271,1.70896,2.21904,1.35907,0.000251213,0.000251213,0.0492512
5,377.933,1.01843,2.054,1.04399,0.28775,0.76768,0.48031,0.26372,1.61467,2.24994,1.31092,0.000313664,0.000313664,0.0363137
6,446.379,1.07509,2.16003,1.09518,0.31315,0.75753,0.47306,0.25887,1.60142,2.28881,1.29433,0.000375471,0.000375471,0.0233755
7,523.959,0.97267,2.21011,1.09781,0.33892,0.75277,0.47746,0.24844,1.69031,2.14076,1.33094,0.000436635,0.000436635,0.0104366
8,591.142,1.07041,1.92497,1.07885,0.34949,0.76035,0.51569,0.25598,1.80369,1.91942,1.39776,0.000482675,0.000482675,0.000482675
9,656.315,1.00033,2.02377,1.06396,0.34949,0.76035,0.51569,0.25598,1.80369,1.91942,1.39776,0.0004802,0.0004802,0.0004802
10,721.844,0.99006,1.97085,1.0692,0.36576,0.64755,0.50164,0.27549,1.64785,1.77966,1.29455,0.000477725,0.000477725,0.000477725
11,787.442,0.97792,1.90647,1.06364,0.38529,0.64106,0.53449,0.30241,1.57256,1.70546,1.25042,0.00047525,0.00047525,0.00047525
12,852.444,1.02267,1.86335,1.08313,0.50411,0.57744,0.59336,0.33445,1.57566,1.62782,1.282,0.000472775,0.000472775,0.000472775
13,918.203,0.94694,1.91999,1.05289,0.5204,0.6956,0.64737,0.38139,1.47893,1.53671,1.25129,0.0004703,0.0004703,0.0004703
14,983.173,0.87404,1.89387,1.0174,0.53536,0.67817,0.66107,0.39181,1.49456,1.53234,1.26555,0.000467825,0.000467825,0.000467825
15,1048.02,0.94717,1.8481,1.03536,0.53536,0.67817,0.66107,0.39181,1.49456,1.53234,1.26555,0.00046535,0.00046535,0.00046535
16,1113.07,0.91659,1.66806,1.04696,0.58293,0.66457,0.66934,0.38718,1.56652,1.55347,1.30214,0.000462875,0.000462875,0.000462875
17,1178.4,0.94404,1.75234,1.04125,0.58335,0.6717,0.69151,0.37785,1.69878,1.56401,1.36386,0.0004604,0.0004604,0.0004604
18,1243.71,0.97544,1.63031,1.04761,0.59368,0.7336,0.71248,0.38894,1.73143,1.51128,1.36408,0.000457925,0.000457925,0.000457925
19,1308.79,0.98434,1.63619,1.0632,0.62507,0.69938,0.7031,0.40434,1.64206,1.49938,1.28843,0.00045545,0.00045545,0.00045545
20,1374.07,1.02491,1.69916,1.07161,0.62507,0.69938,0.7031,0.40434,1.64206,1.49938,1.28843,0.000452975,0.000452975,0.000452975
21,1439.08,0.95885,1.73491,1.06504,0.62605,0.76381,0.72406,0.44052,1.5211,1.44354,1.22575,0.0004505,0.0004505,0.0004505
22,1504.3,0.93975,1.61249,1.03908,0.65143,0.75717,0.728,0.44027,1.51261,1.36836,1.23126,0.000448025,0.000448025,0.000448025
23,1569.92,0.95149,1.4535,1.05613,0.67521,0.73916,0.72201,0.41855,1.54448,1.39264,1.26242,0.00044555,0.00044555,0.00044555
24,1635.52,0.91858,1.50973,1.06184,0.62117,0.74917,0.69949,0.42837,1.42863,1.41069,1.19819,0.000443075,0.000443075,0.000443075
25,1700.61,0.9659,1.42347,1.07238,0.62117,0.74917,0.69949,0.42837,1.42863,1.41069,1.19819,0.0004406,0.0004406,0.0004406
26,1766.14,0.94951,1.4371,1.0642,0.62839,0.70332,0.67648,0.41242,1.43803,1.43182,1.1871,0.000438125,0.000438125,0.000438125
27,1830.8,0.9879,1.52018,1.08533,0.65425,0.71211,0.68421,0.39011,1.58625,1.4429,1.25834,0.00043565,0.00043565,0.00043565
28,1896.3,0.93024,1.40066,1.04885,0.68355,0.67986,0.69721,0.39917,1.59193,1.37239,1.25246,0.000433175,0.000433175,0.000433175
29,1961.62,0.94407,1.47698,1.03868,0.65087,0.75813,0.73833,0.42755,1.56026,1.28454,1.2337,0.0004307,0.0004307,0.0004307
30,2026.46,0.94415,1.49762,1.04941,0.71018,0.81413,0.74941,0.45986,1.42469,1.2068,1.16217,0.000428225,0.000428225,0.000428225
31,2092.03,0.96876,1.38331,1.07275,0.71018,0.81413,0.74941,0.45986,1.42469,1.2068,1.16217,0.00042575,0.00042575,0.00042575
32,2157.1,0.9171,1.43177,1.07754,0.72451,0.81546,0.76127,0.48349,1.32841,1.14754,1.12775,0.000423275,0.000423275,0.000423275
33,2223,0.96209,1.3944,1.10624,0.68776,0.84618,0.75904,0.49238,1.29539,1.14806,1.12304,0.0004208,0.0004208,0.0004208
34,2288.33,0.97676,1.43105,1.08397,0.70201,0.83979,0.77039,0.49414,1.31678,1.13136,1.13507,0.000418325,0.000418325,0.000418325
35,2353.88,0.9362,1.29007,1.0488,0.70971,0.86142,0.77841,0.47675,1.41701,1.13181,1.17254,0.00041585,0.00041585,0.00041585
36,2419.28,0.90622,1.39316,1.03708,0.70971,0.86142,0.77841,0.47675,1.41701,1.13181,1.17254,0.000413375,0.000413375,0.000413375
37,2484.48,0.90345,1.30046,1.04282,0.70576,0.88427,0.79141,0.47559,1.49694,1.12648,1.19907,0.0004109,0.0004109,0.0004109
38,2549.63,0.89315,1.47883,1.06448,0.73559,0.86559,0.79367,0.49219,1.45916,1.11653,1.17308,0.000408425,0.000408425,0.000408425
39,2615.16,1.00723,1.36133,1.08361,0.72737,0.84342,0.79742,0.486,1.50603,1.12264,1.19109,0.00040595,0.00040595,0.00040595
40,2680.57,0.97049,1.3306,1.07246,0.71949,0.84774,0.80921,0.48727,1.55087,1.11518,1.21415,0.000403475,0.000403475,0.000403475
41,2746.15,0.98111,1.30831,1.06959,0.71949,0.84774,0.80921,0.48727,1.55087,1.11518,1.21415,0.000401,0.000401,0.000401
42,2811.77,0.96082,1.31885,1.07245,0.74484,0.82533,0.82646,0.50504,1.51702,1.10007,1.19705,0.000398525,0.000398525,0.000398525
43,2877,0.91081,1.162,1.01308,0.74204,0.85258,0.83708,0.52364,1.4681,1.08142,1.1734,0.00039605,0.00039605,0.00039605
44,2941.69,0.97125,1.4561,1.10806,0.74902,0.86713,0.84818,0.53535,1.4389,1.05346,1.16604,0.000393575,0.000393575,0.000393575
45,3007.16,0.8925,1.24697,1.02702,0.75276,0.87552,0.87237,0.55795,1.40666,1.02053,1.15413,0.0003911,0.0003911,0.0003911
46,3072.29,0.98519,1.34505,1.09015,0.77664,0.87644,0.87993,0.55433,1.44039,1.01459,1.17765,0.000388625,0.000388625,0.000388625
47,3137.76,0.9402,1.24283,1.05327,0.77664,0.87644,0.87993,0.55433,1.44039,1.01459,1.17765,0.00038615,0.00038615,0.00038615
48,3203.58,0.96247,1.18237,1.04827,0.80433,0.88612,0.8867,0.54497,1.46839,1.01023,1.19908,0.000383675,0.000383675,0.000383675
49,3269.31,0.91711,1.20829,1.09241,0.81231,0.90296,0.89626,0.54341,1.49378,1.003,1.21881,0.0003812,0.0003812,0.0003812
50,3335.1,0.93633,1.19068,1.0536,0.78537,0.90513,0.89919,0.53627,1.52873,1.00351,1.24336,0.000378725,0.000378725,0.000378725
51,3400.75,0.94072,1.23493,1.06009,0.7544,0.94885,0.90271,0.52545,1.56336,0.99475,1.26479,0.00037625,0.00037625,0.00037625
52,3465.7,0.93581,1.22867,1.05204,0.7544,0.94885,0.90271,0.52545,1.56336,0.99475,1.26479,0.000373775,0.000373775,0.000373775
53,3530.82,0.86762,1.20641,1.01571,0.72854,0.91703,0.9031,0.52254,1.58312,0.98598,1.26944,0.0003713,0.0003713,0.0003713
54,3596.42,0.9671,1.14963,1.05115,0.69433,0.9105,0.89276,0.53128,1.53105,1.02992,1.23078,0.000368825,0.000368825,0.000368825
55,3661.98,1.02657,1.1779,1.07712,0.71071,0.88944,0.89023,0.528,1.53961,1.05012,1.23724,0.00036635,0.00036635,0.00036635
56,3727.69,0.90731,1.21403,1.02158,0.79594,0.84838,0.90342,0.54732,1.48756,0.99942,1.21672,0.000363875,0.000363875,0.000363875
57,3792.65,0.86849,1.11456,1.01722,0.79594,0.84838,0.90342,0.54732,1.48756,0.99942,1.21672,0.0003614,0.0003614,0.0003614
58,3857.55,0.92212,1.18877,1.06966,0.85827,0.89072,0.92117,0.57479,1.42202,0.93494,1.19335,0.000358925,0.000358925,0.000358925
59,3922.68,0.94082,1.17036,1.05233,0.84685,0.93399,0.93036,0.6041,1.33146,0.89187,1.15024,0.00035645,0.00035645,0.00035645
60,3988.44,0.96517,1.07719,1.07337,0.81899,0.92778,0.90907,0.5934,1.32455,0.92247,1.14624,0.000353975,0.000353975,0.000353975
61,4054.28,0.90337,1.13655,1.02934,0.82686,0.91483,0.91241,0.60179,1.3066,0.90646,1.13245,0.0003515,0.0003515,0.0003515
62,4119.83,0.91732,1.1613,1.03283,0.87659,0.91498,0.92663,0.60925,1.32429,0.86218,1.13305,0.000349025,0.000349025,0.000349025
